"Gauge","StartDate","EndDate","Spearman_HYPE","Spearman_PRMS","R2_HYPE","R2_PRMS","name_all"
"","1980-01-01","1985-01-01",0.853,0.607,0.552,0.43,"SWCSB"
"","1980-01-01","1985-01-01",0.81,0.775,0.776,0.755,"SMRBB"
"","1980-01-01","1985-01-01",0.797,0.794,0.785,0.779,"SMRIB"
"","1980-01-01","1985-01-01",0.775,0.621,0.437,0.326,"MRWIB"
"","1980-01-01","1985-01-01",0.55,0.659,0.262,0.538,"NFKMR"
"","1980-01-01","1985-01-01",0.744,0.645,0.177,0.308,"MREIB"
"","1980-01-01","1985-01-01",0.357,0.49,0.056,0.052,"CLCMO"
"","1980-01-01","1985-01-01",0.43,0.348,0.002,0.154,"LDCIB"
"","1980-01-01","1985-01-01",0.574,0.447,0.099,0.076,"BTCIB"
"","1980-01-01","1985-01-01",0.689,0.444,0.297,0.278,"PPCMO"
"","1980-01-01","1985-01-01",0.347,0.488,0.324,0.234,"BCBMO"
"","1980-01-01","1985-01-01",0.356,0.236,0.02,0.003,"RKCMO"
